DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
10-FEB-2026,FUTSTK,BHARATFORG,28-APR-2026,1627.60
10-FEB-2026,FUTSTK,BHARATFORG,30-APR-2026,1633.50
10-FEB-2026,FUTSTK,BHARTIARTL,24-FEB-2026,2016.90
10-FEB-2026,FUTSTK,BHARTIARTL,26-FEB-2026,2016.15
10-FEB-2026,FUTSTK,BHARTIARTL,25-MAR-2026,2024.35
10-FEB-2026,FUTSTK,BHARTIARTL,30-MAR-2026,2029.30
10-FEB-2026,FUTSTK,BHARTIARTL,28-APR-2026,2041.50
10-FEB-2026,FUTSTK,BHARTIARTL,30-APR-2026,2035.40
10-FEB-2026,FUTSTK,BHEL,24-FEB-2026,276.80
10-FEB-2026,FUTSTK,BHEL,26-FEB-2026,276.75
10-FEB-2026,FUTSTK,BHEL,25-MAR-2026,277.90
10-FEB-2026,FUTSTK,BHEL,30-MAR-2026,278.40
10-FEB-2026,FUTSTK,BHEL,28-APR-2026,279.80
10-FEB-2026,FUTSTK,BHEL,30-APR-2026,279.40
10-FEB-2026,FUTSTK,BIOCON,24-FEB-2026,372.00
10-FEB-2026,FUTSTK,BIOCON,26-FEB-2026,371.95
10-FEB-2026,FUTSTK,BIOCON,25-MAR-2026,373.45
10-FEB-2026,FUTSTK,BIOCON,30-MAR-2026,374.45
10-FEB-2026,FUTSTK,BIOCON,28-APR-2026,376.50
10-FEB-2026,FUTSTK,BIOCON,30-APR-2026,375.50
10-FEB-2026,FUTSTK,BLUESTARCO,24-FEB-2026,1956.80
10-FEB-2026,FUTSTK,BLUESTARCO,26-FEB-2026,1953.05
10-FEB-2026,FUTSTK,BLUESTARCO,25-MAR-2026,1961.00
10-FEB-2026,FUTSTK,BLUESTARCO,30-MAR-2026,1957.10
10-FEB-2026,FUTSTK,BLUESTARCO,28-APR-2026,1971.10
10-FEB-2026,FUTSTK,BLUESTARCO,30-APR-2026,1971.70
10-FEB-2026,FUTSTK,BOSCHLTD,24-FEB-2026,35680.00
10-FEB-2026,FUTSTK,BOSCHLTD,26-FEB-2026,35660.10
10-FEB-2026,FUTSTK,BOSCHLTD,25-MAR-2026,35805.50
10-FEB-2026,FUTSTK,BOSCHLTD,30-MAR-2026,35860.00
